Country name,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
United Kingdom,1950,50055068,819482,4315564,11260203,17763968,33368700,856729,3496082,3608190,3336449,3127984,7228062,7308759,7404841,5883403,4467890,2633359,694340,45914,314
United Kingdom,1951,50271908,788726,4252613,11380458,17844500,33405440,813737,3463887,3781603,3346242,3138027,7063952,7337039,7447467,5988498,4486780,2672625,709602,47123,336
United Kingdom,1952,50484812,775264,4109852,11476265,17930072,33457464,783580,3334588,3996450,3369963,3170840,6921808,7340359,7482999,6092936,4513031,2705117,732452,48645,358
United Kingdom,1953,50728620,780332,3979811,11566253,18036670,33524056,770765,3199479,4155858,3430584,3225296,6807674,7305971,7513971,6203954,4552305,2739919,761584,51301,392
United Kingdom,1954,50969936,782686,3906121,11659511,18153544,33590620,776250,3123435,4229185,3524205,3279009,6715980,7253729,7532767,6319404,4594967,2771171,788987,53981,430
United Kingdom,1955,51193270,775764,3867933,11758962,18266792,33643628,778909,3092169,4249398,3641631,3308214,6647935,7214357,7519795,6435207,4637788,2799401,814893,56253,465
United Kingdom,1956,51421616,791727,3874868,11880545,18400416,33683400,772277,3083141,4190956,3814721,3320032,6602062,7211368,7454700,6547753,4683114,2823201,840152,58199,492
United Kingdom,1957,51682404,823062,3925170,12006032,18574142,33741970,788141,3102108,4052362,4028500,3347241,6582432,7249303,7326917,6658751,4731292,2849289,869847,60782,518
United Kingdom,1958,51960820,845692,3991973,12104916,18779234,33844480,819140,3146281,3927763,4185180,3411896,6585972,7301847,7165525,6765660,4784650,2877550,898360,63898,548
United Kingdom,1959,52241650,859032,4068558,12184098,18995648,33974784,841576,3209526,3859564,4255976,3508001,6593289,7290049,7065205,6853854,4856083,2901887,921686,66917,581
United Kingdom,1960,52543024,881581,4173101,12273605,19220350,34109110,854962,3291520,3824912,4275592,3625563,6588137,7176183,7069347,6918696,4948720,2925587,946665,69901,619
United Kingdom,1961,52861256,913383,4293631,12343242,19462664,34282730,877396,3380248,3832606,4217005,3797510,6579510,7024997,7112009,6964961,5046695,2948574,969979,73123,655
United Kingdom,1962,53183636,939128,4409293,12366185,19716528,34512990,908768,3470165,3881538,4075354,4011634,6606798,6894189,7125360,6999867,5142830,2971806,987372,76905,689
United Kingdom,1963,53508520,959213,4521956,12414169,19978322,34720016,934134,3562743,3945928,3946285,4170368,6692575,6786389,7098430,7027821,5242119,2997114,998418,80395,720
United Kingdom,1964,53861504,979019,4639639,12534839,20258916,34854304,953931,3660620,4020174,3875026,4243974,6810524,6696324,7052035,7045870,5347753,3030370,1014029,85010,775
United Kingdom,1965,54229570,984500,4739555,12699900,20556280,34928692,973446,3755055,4122362,3837983,4267374,6928054,6626001,7016734,7036175,5456207,3069316,1038162,90789,854
United Kingdom,1966,54560504,968193,4791229,12874700,20843536,34958780,978700,3823036,4240890,3842581,4214212,7083874,6574294,7016855,6976093,5559491,3104777,1059218,96068,922
United Kingdom,1967,54876360,950880,4800073,13043316,21088168,34971656,962557,3849193,4354883,3888360,4077212,7303199,6544872,7058183,6856438,5663441,3144736,1081982,101985,997
United Kingdom,1968,55169252,935385,4774325,13189267,21270824,34985148,945403,3838940,4464538,3950404,3951871,7512271,6535157,7118717,6699587,5763474,3187300,1103395,107140,1072
United Kingdom,1969,55420524,915855,4710899,13310208,21404236,34991816,929843,3795044,4576163,4023146,3885667,7670802,6527965,7118179,6596177,5842879,3235318,1120615,111563,1150
